@relation Twitter

@attribute TwitterNum numeric
@attribute body string
@attribute classOfTweet {pos,neg}

@data

1231030828,'I will take care of it.  no worries.',pos
1230151598,'LOL, iphones don\'t understand british people  URL',pos
1229129958,'Loved hanging with Steph and Tiff tonight!! Great start to the week! ',pos
1230540839,'Herpes Simplex 1 is mostly contagious in the week before and after an outbreak.  Comfy with the condom odds?  Keep kissing! ',pos
1230129085,'I would be more worried about myself if the last erotica book I read wasn\'t just BAD.  It had negative hotness.  ',neg
1229551422,'Time for bed... Dnw finals ',neg
1228402351,'happy merry to you too gentile giant. ',pos
1228322260,'And free show washington square park afternoon monday ',pos
1230772361,'Not his fault...  he\'s tried before.  ',pos
1228870500,'Dropping off cards, doing some last minute wrapping....looking forward to chilling on Christmas day!! lol ',pos
1230407272,'Yeaaa I can\'t stop smiling :D It was only like 5 mins, cuz he had to get ready for his show..but it\'s okay ',pos
1229661869,'Just going for lunch ',pos
1231097652,'RETWEET Check out #ActionsTalk #22 featuring Cd Vann of #Sohobiztube.com! Pls retweet Milwaukee/Chicago  URL',pos
1229956076,'logo design week.  seems even mlug is doing the same.',pos
1230257830,'I need to go to gym but i\'m sooooo lazy!!!!!!!!!!!!! ',neg
1228750165,'Thanks for that very much appreciated : )',pos
1228264131,'Min mamma Šr fšdd i Kiruna, och mormor, och morsmorsmor.   ',pos
1229899807,'somewhat. now i know what i whiney, stupid bitch Bella is.  i got it basically for my mom though.',pos
1230573540,'listen to me and USER  trust us. USER and I will help you to convert fully to the Jake side. &lt;333!!',pos
1228274887,'? ??????? craftsponge ???????????? ?????? ? ????-?????? ',neg
1229613831,'I am stuck at home like a prisoner waiting for my cam. Still no signs of it ',neg
1229923956,'Check your Kingfisher flt info USER URL   IT 3151 was on time today  Finger crossed for tomorrow!Cant tolerate a delay tom',pos
1229840403,'RT USER 3D street art URL cool street art - even better than Mary Poppins',pos
1228979738,'Lots of love to you all and best wishes for 2009!!! HappySlip hugs to each and every one of you sparkling special people!!! ',pos
1230844485,'getting rained on at kings park. Its all good tho ',pos
1229186564,'ik denk ook niet dat mijn presentaties groundbreaking zijn, zonder mij gaat het ok wel goed verder. en dus zonde rmijn pres ook ',pos
1230251192,'pizza with grant, caitlyn, and Paul is the best way to spend my birthday. ',pos
1228934419,'Only 2 days left, last chance to enter the \"Caption Contest\" for this photo: URL Deadline is Dec. 25th. Come Have Fun! ',pos
1229181894,'Confession: I honestly want to have Taylor Johnsons babies.  haha Yes I am hitting on you. lol',pos
1231117698,'About to have my birthday dinner w/my kids USER Stir Crazy...thank goodness that\'s the name of the restaurant & not my state of mind ',pos
1230930435,'woke up with a coffee headache ',neg
1230876940,'Re-pinging USER USER everything you\'re saying = G1 is trash  LOL         what Beatz said',pos
1228926065,'',pos
1229194837,'Passed my written test.. Bout to get my California drivers license! Finally! I guess I\'m officially moved back',pos
1229741086,'Don\'t get me started! ',pos
1228331678,'tomorrow will be the 8th day without heat and running water here and people are on the edge. Me too  Your help is appreciated.',pos
1230055448,'working on USER and catching up on e-mails and paperwork.  Are you going to LA Digital\'s Holiday Party tonight? ',pos
1229155371,'P.S. Anyone on Twitter is invited. ',pos
1229702943,' If it\'s any consolation, I told stalker-boy that he can\'t come to the gathering.',neg
1230076942,'Happy Thanksgiving! I hope your day was full of family, love and tech fun! ',pos
1231107963,'RIP lawand hajo.....a great syrian artist dies in such a dramatic way...no comment ',neg
1229806004,'i think you\'re right!  ',pos
1228518514,'USER will soak it isn and send vicariously - be sure to open your windows to let it in ',pos
1229538808,'24 degrees in Dallas. Freezing rain! Hopefully it will clear so we can get back to Cali! USER PF Chang\'s RnR AZ for an ultra! ',pos
1228741190,'Visual Studio 2008 setup is looking good - better than the average. My licensed copy from Dreamspark  URL',pos
1229318490,'LOL y\'all are beggars. So I take the junk off, make a mess...then what??? I Don\'t even get to be in it! ',neg
1204170532,'100,000?  Sheeeeeeet -I can retire!  ',pos
1229549812,'good morning all. last day of school this week woo! ',pos
1227619228,'Time for some games.   Well, it\'s not new year yet so I can\'t be too stressed about work ',pos
1230642508,'yeah, I had a feeling that would come off all high and mighty - not intended that way - you are right too is the pt. ',pos
1230417400,'I see that, but if you replace the \"home\" at the end of twitter\'s url w/user name you find who you are looking for. ',pos
1228971874,'welcome dude ',pos
1229122865,'Car brakes is messing up again, wants more ps3 games, behind on work. Thats life ',pos
1229714716,'another braai, another day on holiday ',pos
